,pclass,age,sex
1107,3rd,31.19418104265403,male
771,3rd,19.0,female
1114,3rd,31.19418104265403,male
1161,3rd,31.19418104265403,female
568,2nd,27.0,female
251,1st,62.0,female
863,3rd,31.19418104265403,female
76,1st,38.0,female
827,3rd,16.0,female
287,1st,31.19418104265403,male
649,3rd,45.0,female
673,3rd,32.0,male
1289,3rd,31.19418104265403,male
443,2nd,53.0,female
115,1st,22.0,female
288,1st,36.0,female
882,3rd,31.19418104265403,male
322,2nd,30.0,male
92,1st,39.0,male
94,1st,53.0,female
766,3rd,36.0,female
645,3rd,13.0,male
1148,3rd,31.19418104265403,female
629,3rd,38.0,female
432,2nd,45.0,female
609,3rd,20.0,male
795,3rd,31.19418104265403,male
642,3rd,5.0,male
547,2nd,50.0,female
26,1st,39.0,male
1002,3rd,31.19418104265403,male
925,3rd,31.19418104265403,male
501,2nd,13.0,female
692,3rd,21.0,male
601,2nd,18.0,male
1008,3rd,31.19418104265403,male
355,2nd,42.0,female
149,1st,50.0,female
763,3rd,0.1667,female
1210,3rd,31.19418104265403,male
197,1st,31.19418104265403,male
915,3rd,31.19418104265403,male
147,1st,35.0,female
1028,3rd,31.19418104265403,female
86,1st,4.0,male
1263,3rd,31.19418104265403,female
1111,3rd,31.19418104265403,female
341,2nd,34.0,male
393,2nd,18.0,female
608,3rd,18.0,female
617,3rd,23.0,male
319,1st,31.19418104265403,female
359,2nd,31.0,female
941,3rd,31.19418104265403,male
1228,3rd,31.19418104265403,male
853,3rd,31.19418104265403,male
142,1st,51.0,female
1055,3rd,31.19418104265403,female
1286,3rd,31.19418104265403,male
758,3rd,31.19418104265403,male
294,1st,31.19418104265403,female
418,2nd,22.0,male
450,2nd,21.0,male
414,2nd,26.0,male
241,1st,40.0,female
31,1st,22.0,female
764,3rd,25.0,male
932,3rd,31.19418104265403,female
1226,3rd,31.19418104265403,female
657,3rd,3.0,female
256,1st,52.0,male
803,3rd,31.19418104265403,male
677,3rd,6.0,male
1279,3rd,31.19418104265403,male
396,2nd,34.0,female
462,2nd,23.0,female
693,3rd,20.0,female
927,3rd,31.19418104265403,male
628,3rd,17.0,female
506,2nd,54.0,male
371,2nd,29.0,male
1198,3rd,31.19418104265403,male
232,1st,28.0,male
709,3rd,28.0,male
508,2nd,31.19418104265403,male
282,1st,20.0,female
698,3rd,31.19418104265403,male
1049,3rd,31.19418104265403,female
1048,3rd,31.19418104265403,male
106,1st,49.0,male
618,3rd,20.0,male
175,1st,54.0,male
937,3rd,31.19418104265403,female
